,value,label
6902,"'Smiths' of Smithfield, Cannon Street","'Smiths' of Smithfield, Cannon Street"
8360,01 Adana Restaurant,01 Adana Restaurant
3889,1 Lombard Street,1 Lombard Street
360,10 Greek Street,10 Greek Street
584,100 Hoxton,100 Hoxton
7534,100 Kensington,100 Kensington
3496,100 Wardour St,100 Wardour St
5156,101 Thai Kitchen,101 Thai Kitchen
3489,108 Brasserie,108 Brasserie
6101,108 Garage,108 Garage
7029,113 Restaurant and Bar,113 Restaurant and Bar
8936,120 Central Brasserie,120 Central Brasserie
1643,129HRD,129HRD
1639,140 Portobello,140 Portobello
7799,146 Paddington,146 Paddington
7602,147 SmokeHouse,147 SmokeHouse
7869,15/25 Asian Dining Room,15/25 Asian Dining Room
6543,155 Bar & Kitchen,155 Bar & Kitchen
2354,161 Food+Drink,161 Food+Drink
8160,1802 Bar Lounge & Dining,1802 Bar Lounge & Dining
2942,1880 at The Bentley London,1880 at The Bentley London
10860,189 Piccadilly,189 Piccadilly
1528,19 Numara Bos Cirrik II,19 Numara Bos Cirrik II
6561,19 Streatham,19 Streatham
10666,190 Queen's Gate by Daniel Galmiche,190 Queen's Gate by Daniel Galmiche
4359,1901 Restaurant,1901 Restaurant
3589,1901 Wine Lounge,1901 Wine Lounge
2659,1n1 Fashion n Pizza,1n1 Fashion n Pizza
4674,2 Amici,2 Amici
10598,2 Bridge Place,2 Bridge Place
6215,2 Girls' Cafe,2 Girls' Cafe
417,2 Veneti,2 Veneti
10854,202 Restaurant,202 Restaurant
820,22 North Street,22 North Street
2967,222 Kitchen,222 Kitchen
182,222 Veggie Vegan,222 Veggie Vegan
10556,23 Grosvenor Gardens,23 Grosvenor Gardens
3439,25th Ward,25th Ward
1004,26 Grains,26 Grains
1452,28 Church Row,28 Church Row
11299,28 West,28 West
4883,28-50,28-50
5251,28-50 Fetter Lane,28-50 Fetter Lane
4583,28-50 Marylebone Lane,28-50 Marylebone Lane
9355,280 Degrees African Restaurant & Bar,280 Degrees African Restaurant & Bar
1285,2K Steakhouse,2K Steakhouse
7872,2NX,2NX
7526,2k Steakhouse - High Barnet,2k Steakhouse - High Barnet
7456,3 Kings,3 Kings
2378,3 Points Cafe,3 Points Cafe
6937,33 Abbeville Road,33 Abbeville Road
9675,333 Mother,333 Mother
3634,34 Mayfair,34 Mayfair
2271,40 Maltby Street,40 Maltby Street
429,45 Jermyn St.,45 Jermyn St.
4765,46 & Mercy,46 & Mercy
2700,5 Pollen Street,5 Pollen Street
7900,500 Degrees,500 Degrees
3298,500 Degrees Brixton,500 Degrees Brixton
8154,500 Degrees Marylebone,500 Degrees Marylebone
802,500 Restaurant,500 Restaurant
6514,55 Restaurant @ Chelsea Football Club,55 Restaurant @ Chelsea Football Club
11143,5th View Bar and Food Waterstones,5th View Bar and Food Waterstones
1058,606 Club,606 Club
6523,64th and Social,64th and Social
4866,65 & King,65 & King
10245,68 and Boston,68 and Boston
5114,7 Tales,7 Tales
6096,8 Caffe,8 Caffe
1052,8 Hoxton Square,8 Hoxton Square
10753,805 Restaurant,805 Restaurant
8944,805 Restaurants,805 Restaurants
6201,84 Cricklewood Restaurant And Bar,84 Cricklewood Restaurant And Bar
2104,90 Degree MELT,90 Degree MELT
2880,90 On The Green,90 On The Green
5760,A A Fisheries,A A Fisheries
7931,A Gold,A Gold
6926,A Little of What You Fancy,A Little of What You Fancy
4378,A Toca,A Toca
1117,A Torre,A Torre
381,A. Wong,A. Wong
885,A.Wong,A.Wong
3314,A1 Kebabish,A1 Kebabish
8548,ABOKADO,ABOKADO
6268,"AGAH - Anatolian Turkish Cuisine, Grill and Bar","AGAH - Anatolian Turkish Cuisine, Grill and Bar"
521,APULIA,APULIA
2689,ASIA VILLA STREET FOOD,ASIA VILLA STREET FOOD
10181,ASK Italian - London - Finchley,ASK Italian - London - Finchley
10931,ASK Italian - London - Spice Quay,ASK Italian - London - Spice Quay
3510,ASK Italian - London - Spring Street,ASK Italian - London - Spring Street
5666,ASK Italian - London - The O2,ASK Italian - London - The O2
6230,Aappa Kadai,Aappa Kadai
8852,Ababil Tandoori,Ababil Tandoori
3456,Abasto,Abasto
4718,Abbey Bar,Abbey Bar
4759,Abbeywood Tandoori,Abbeywood Tandoori
450,Abeno,Abeno
3917,Abeno Too,Abeno Too
10825,Aberdeen Steak House,Aberdeen Steak House
539,Abingdon,Abingdon
6893,Abokado,Abokado
9036,Abokado - Fleet Street,Abokado - Fleet Street
194,About Thyme Restaurant,About Thyme Restaurant
10140,Absolute Abode,Absolute Abode
11307,Absolutely Starving,Absolutely Starving
379,Absurd Bird Spitalfields,Absurd Bird Spitalfields
4838,"Absurd Bird, Soho","Absurd Bird, Soho"
7298,Abu Zaad,Abu Zaad
6812,Abu Zaad (Ealing),Abu Zaad (Ealing)
4579,Abu Zaad (Shepherds Bush),Abu Zaad (Shepherds Bush)
1508,Abyssinia Ethiopian Restaurant,Abyssinia Ethiopian Restaurant
6653,Aces And Eights,Aces And Eights
1258,Acoustic Cafe,Acoustic Cafe
6784,Acqua7,Acqua7
2523,Acton Cafe,Acton Cafe
5862,Adam & Eve,Adam & Eve
8414,Adam's Grill,Adam's Grill
1088,Adams Cafe,Adams Cafe
4463,Adams Fish Resturant and Take Away,Adams Fish Resturant and Take Away
4766,Adchaya,Adchaya
4152,Addie's Thai Cafe,Addie's Thai Cafe
10726,Addis Ethiopian Restaurant,Addis Ethiopian Restaurant
804,Addomme',Addomme'
9897,Admiral Hardy,Admiral Hardy
1246,Adore Remo,Adore Remo
6413,Adriatico Bacari di Venezia,Adriatico Bacari di Venezia
5148,Adulis,Adulis
4269,Adventure Bar,Adventure Bar
1701,Adventure Bar Clapham Junction,Adventure Bar Clapham Junction
8656,Affaire,Affaire
5003,Afghan Kitchen,Afghan Kitchen
427,African Gallery Kitchen,African Gallery Kitchen
24,Afternoon Tea,Afternoon Tea
8698,Afternoon Tea At Grand Royale,Afternoon Tea At Grand Royale
2641,Afternoon Tea At The Grove,Afternoon Tea At The Grove
156,Afternoon Tea at Claridge's,Afternoon Tea at Claridge's
243,Afternoon Tea at One Aldwych,Afternoon Tea at One Aldwych
8501,Afternoon Tea at Park Grand London Kensington,Afternoon Tea at Park Grand London Kensington
599,Afternoon Tea at St. Ermin's Tea Lounge,Afternoon Tea at St. Ermin's Tea Lounge
970,Afternoon Tea at The Capital Hotel,Afternoon Tea at The Capital Hotel
1167,Afternoon Tea at The Lanesborough,Afternoon Tea at The Lanesborough
296,Afternoon Tea at The Library Lounge,Afternoon Tea at The Library Lounge
1170,Afternoon Tea at The Milestone,Afternoon Tea at The Milestone
749,Afternoon Tea at The Montague on The Gardens,Afternoon Tea at The Montague on The Gardens
336,Afternoon Tea at The Rubens at the Palace,Afternoon Tea at The Rubens at the Palace
192,Afternoon Tea at The Savoy,Afternoon Tea at The Savoy
11265,Afternoon Tea at The Waldorf Hilton,Afternoon Tea at The Waldorf Hilton
3605,Aga's Little Deli,Aga's Little Deli
7383,Agathas,Agathas
9402,Agile Rabbit,Agile Rabbit
5626,Aglio e Olio,Aglio e Olio
5816,Agora Greek Bakery,Agora Greek Bakery
663,Agra Restaurant,Agra Restaurant
2125,Ahi Poke,Ahi Poke
5683,Ai Sushi,Ai Sushi
2399,Aiko,Aiko
11066,Airline Cafe & Diner,Airline Cafe & Diner
1254,Ajanta,Ajanta
10503,Akari,Akari
6882,Akash Tandoori,Akash Tandoori
9742,Akash Tandoori Restaurant,Akash Tandoori Restaurant
1654,Al Amin,Al Amin
11153,Al Arez,Al Arez
5442,Al Arez 2,Al Arez 2
4745,Al Balad,Al Balad
6047,Al Basha Restaurant,Al Basha Restaurant
8879,Al Chile,Al Chile
3737,Al Duca,Al Duca
2190,Al Enam,Al Enam
2588,Al Farah Cafe,Al Farah Cafe
8355,Al Farooq Kebabish,Al Farooq Kebabish
5154,Al Forno,Al Forno
4891,Al Forno - Shepherd's Bush Green,Al Forno - Shepherd's Bush Green
11354,Al Forno - Wimbledon,Al Forno - Wimbledon
11039,Al Fresco,Al Fresco
11158,Al Hamra,Al Hamra
9267,Al Masar,Al Masar
7342,Al Maskoof Al Iraqi Restaurant,Al Maskoof Al Iraqi Restaurant
5292,Al Pancino,Al Pancino
5914,Al Parco,Al Parco
7548,Al Reef,Al Reef
4814,Al Santo Restaurant,Al Santo Restaurant
10212,Al Sultan,Al Sultan
4977,Al Waha,Al Waha
11184,Al-Dar 1,Al-Dar 1
11275,Al-Dar II,Al-Dar II
6765,Al-Mirage,Al-Mirage
4785,Ala Turko Kebabs,Ala Turko Kebabs
11490,Aladin Brick Lane,Aladin Brick Lane
6999,Aladin Kebabish,Aladin Kebabish
7584,Aladin's Kebabish,Aladin's Kebabish
85,Alain Ducasse at The Dorchester,Alain Ducasse at The Dorchester
2300,Alara,Alara
8569,Alawia Lebanese Restaurant,Alawia Lebanese Restaurant
2835,Albany Tandoori,Albany Tandoori
1944,Albert Arms,Albert Arms
1762,Albertines,Albertines
2553,Albina restaurant london,Albina restaurant london
10789,Albion Bankside,Albion Bankside
6158,Albion Clerkenwell,Albion Clerkenwell
11259,Albion Shoreditch,Albion Shoreditch
6452,Alborz,Alborz
2045,Alcazar Lounge,Alcazar Lounge
984,Alcedo Bistro & Bar,Alcedo Bistro & Bar
1909,Ale & Spice,Ale & Spice
2394,Aleion,Aleion
6082,Alen's Fish & Chips,Alen's Fish & Chips
3961,Aleppo House,Aleppo House
2047,Alex's Place | Kebab And Steak House,Alex's Place | Kebab And Steak House
113,Alexander The Great,Alexander The Great
2362,Alexanders Greek Restaurant,Alexanders Greek Restaurant
424,Alexandrie Restaurant,Alexandrie Restaurant
1962,Ali Baba,Ali Baba
5412,Ali's Berlin Doner,Ali's Berlin Doner
4897,Alice House Queen's Park,Alice House Queen's Park
4701,Alice House West Hampstead,Alice House West Hampstead
2173,Aline of Lebanon,Aline of Lebanon
3971,Alkis Restaurant,Alkis Restaurant
9394,All Bar One - Appold Street,All Bar One - Appold Street
10858,All Bar One - Byward Street,All Bar One - Byward Street
11122,All Bar One - Canary Wharf,All Bar One - Canary Wharf
10151,All Bar One - Cannon Street,All Bar One - Cannon Street
10482,All Bar One - Chiswell Street,All Bar One - Chiswell Street
11210,All Bar One - Covent Garden,All Bar One - Covent Garden
9429,All Bar One - Houndsditch,All Bar One - Houndsditch
4387,"All Bar One - The O2, Greenwich","All Bar One - The O2, Greenwich"
10697,All Bar One - Victoria,All Bar One - Victoria
9825,All Bar One Bishopsgate,All Bar One Bishopsgate
11085,All Bar One Butler's Wharf,All Bar One Butler's Wharf
11144,All Bar One Euston,All Bar One Euston
4845,All Bar One Kingsway Holborn,All Bar One Kingsway Holborn
10913,All Bar One Leicester Square,All Bar One Leicester Square
5211,All Bar One Ludgate Hill,All Bar One Ludgate Hill
10760,All Bar One New Oxford Street,All Bar One New Oxford Street
6615,All Bar One Picton Place,All Bar One Picton Place
11054,All Bar One Regent Street,All Bar One Regent Street
10824,All Bar One Villiers Street,All Bar One Villiers Street
11408,All Bar One Waterloo,All Bar One Waterloo
5589,All Bar One Wimbledon,All Bar One Wimbledon
10561,All Bar One in Battersea,All Bar One in Battersea
4524,All In A Pickle,All In A Pickle
1467,All Inn One,All Inn One
4322,All Star Lanes - Bayswater,All Star Lanes - Bayswater
10975,All Star Lanes - Brick Lane,All Star Lanes - Brick Lane
10993,All Star Lanes - Holborn,All Star Lanes - Holborn
3835,All Star Lanes Stratford,All Star Lanes Stratford
1361,Alla Salute,Alla Salute
865,Allora,Allora
2358,Ally's Kitchen,Ally's Kitchen
5383,Alma,Alma
2038,Alma Cafe,Alma Cafe
5635,Alma's Ristorante Pizzeria,Alma's Ristorante Pizzeria
8216,Aloosh,Aloosh
4017,Alounak,Alounak
5293,Alounak Restaurant - Kensington,Alounak Restaurant - Kensington
2012,Alpino,Alpino
11589,Altitude London,Altitude London
271,Alyn Williams at the Westbury,Alyn Williams at the Westbury
2009,Amalfi caffeUK,Amalfi caffeUK
8885,Amar Gaon,Amar Gaon
10100,Amaranth,Amaranth
1885,Amaranto Lounge at the Four Seasons,Amaranto Lounge at the Four Seasons
569,Amaranto Restaurant - Four Seasons Hotel London at Park Lane,Amaranto Restaurant - Four Seasons Hotel London at Park Lane
4824,Amarcord Italian Restaurant,Amarcord Italian Restaurant
4920,Amarcord Museum Italian Restaurant,Amarcord Museum Italian Restaurant
6991,Amaretto,Amaretto
92,Amaya,Amaya
7980,Amba Bar & Grill,Amba Bar & Grill
8420,Ambassador Restaurant,Ambassador Restaurant
5078,Amber Bar,Amber Bar
810,Ambience,Ambience
2305,Ambience Express 2,Ambience Express 2
